City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
19,Hambantota,LK,77.34,overcast clouds,6.1241,81.1185,Bungalow 63
21,Nauta,PE,75.65,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
28,Ribeira Grande,PT,72.12,few clouds,38.5167,-28.7,Quinta da Meia Eira
31,Bengkulu,ID,76.95,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
33,Thayetmyo,MM,75.63,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
49,Santa Rita,BR,74.07,clear sky,-7.1139,-34.9781,Infinity Motel
51,Meulaboh,ID,77.54,broken clouds,4.1363,96.1285,Kost Pria
54,Atuona,PF,78.06,clear sky,-9.8,-139.0333,Villa Enata
63,Puerto Ayora,EC,71.87,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Guarapari,BR,71.49,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
66,Luanda,AO,71.6,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
68,Arraial Do Cabo,BR,71.24,clear sky,-22.9661,-42.0278,Pousada Porto Praia
70,Jarocin,PL,70.43,few clouds,51.9727,17.5026,Hotel Jarota
71,Rabak,SD,76.06,broken clouds,13.1809,32.74,فندق ربك Rabak Hotel
72,Sao Joao Da Barra,BR,71.87,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
75,Ponta Do Sol,PT,74.01,clear sky,32.6667,-17.1,Hotel do Campo
77,Sibu,MY,79.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
80,Khonsa,IN,72.39,overcast clouds,27.0167,95.5667,
82,Mutsu,JP,75.52,broken clouds,41.2894,141.2169,Mutsu Park Hotel
88,Bristol,US,78.89,few clouds,41.8334,-71.1662,
89,Airai,TL,71.67,scattered clouds,-8.9266,125.4092,Juvinal Martin
91,Terrace,CA,71.51,broken clouds,54.5163,-128.6035,Northern Motor Inn
92,Caravelas,BR,72.45,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
93,Along,IN,79.84,broken clouds,28.1667,94.7667,Hotel West
97,Gondanglegi,ID,79.05,clear sky,-7.7479,112.0132,Gg. Munasir Homestay
100,Alta Floresta,BR,76.12,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
102,Mao,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
107,Thompson,CA,75.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
117,Guerrero Negro,MX,74.53,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
118,Mutis,CO,77.52,overcast clouds,6.2262,-77.4044,Paraiso Escondido
120,Rikitea,PF,74.53,overcast clouds,-23.1203,-134.9692,People ThankYou
121,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
123,Acarau,BR,78.17,broken clouds,-2.8856,-40.12,castelo pizzaria
125,Jamestown,US,76.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
130,Villa Bruzual,VE,75.15,overcast clouds,9.3328,-69.1208,Edificio Guarente
133,Santa Isabel Do Rio Negro,BR,74.43,overcast clouds,-0.4139,-65.0192,Hotel GSA
135,Nador,MA,73.65,few clouds,35.174,-2.9287,Hôtel La Giralda
146,Bethel,US,79.56,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
153,Kenai,US,70.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
162,Marzuq,YE,74.23,clear sky,14.4,46.4667,
163,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
173,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
174,Priekule,LV,70.99,broken clouds,56.4468,21.5897,Parka namiņš
177,Karratha,AU,72.64,clear sky,-20.7377,116.8463,ibis Styles Karratha
182,Rumilly,FR,70.41,overcast clouds,45.8667,5.95,Couett'Hôtel Rumilly
183,Porto Santo,PT,73.31,broken clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
195,Makasar,ID,75.25,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
196,Surt,LY,78.64,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
201,Byron Bay,AU,71.71,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
203,Gold Coast,AU,71.67,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
208,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
211,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
212,Baykit,RU,70.59,overcast clouds,61.67,96.37,
215,Bang Mun Nak,TH,79.21,overcast clouds,16.0278,100.3792,NIDA Rooms Phichit 55 Bang Mun Nak
223,Gambiran,ID,77.63,few clouds,-6.7988,111.4951,GUBUK KU
224,Zhangjiakou,CN,74.95,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
229,Watertown,US,74.05,moderate rain,42.3709,-71.1828,Sonesta International Hotels Corporation
231,Birmitrapur,IN,74.41,overcast clouds,22.4,84.7667,ANUP LOMGA
234,Bambanglipuro,ID,78.21,broken clouds,-7.95,110.2833,Puri Brata
238,Pringsewu,ID,76.78,broken clouds,-5.3582,104.9744,Urban Style by Front One
244,Faanui,PF,78.06,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
247,Vilhena,BR,72.16,scattered clouds,-12.7406,-60.1458,Hotel Mirage
249,Birjand,IR,73.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
256,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
284,Payo,ID,74.39,broken clouds,-3.7508,103.6372,Mess keban agung
288,Banjarmasin,ID,78.94,scattered clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
290,San Quintin,MX,73.09,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
291,Lagoa,PT,71.04,overcast clouds,39.05,-27.9833,Casa Das Faias
297,Port-Gentil,GA,75.52,broken clouds,-0.7193,8.7815,Fengshui Residence
298,Crixas,BR,73.51,broken clouds,-14.5489,-49.9692,RISO HOTEL
299,Alexandria,EG,78.76,clear sky,31.2156,29.9553,Royal Crown Hotel
308,Mataram,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
309,Miracema Do Tocantins,BR,76.17,clear sky,-9.5618,-48.3967,Miami Apart Hotel
313,Xapuri,BR,74.52,broken clouds,-10.6517,-68.5044,Pousada dos Chapurys
315,Norman Wells,CA,71.64,broken clouds,65.282,-126.8329,Heritage Hotel
318,Bandar,ID,76.53,scattered clouds,2.05,99.75,
320,Hervey Bay,AU,71.71,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
321,Cruz,BR,77.72,broken clouds,-2.9178,-40.1717,Hotel Villaboibom
322,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
324,Buchanan,LR,76.33,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
