City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,37.67,99,100,15.19,overcast clouds
1,Yulara,AU,-25.2406,130.9889,64.24,48,90,4.61,overcast clouds
2,Houma,US,29.5958,-90.7195,91.4,75,1,9.22,clear sky
3,Chuy,UY,-33.6971,-53.4616,42.58,70,11,15.95,few clouds
4,Coihaique,CL,-45.5752,-72.0662,35.55,93,0,2.3,clear sky
5,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,11.5,light rain
6,Carnarvon,AU,-24.8667,113.6333,60.87,54,90,9.22,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,37.06,93,90,1.14,light rain
8,Nikolskoye,RU,59.7035,30.7861,65.01,67,100,4.65,overcast clouds
9,Lahij,YE,13.1667,44.5833,80.01,67,27,0.98,scattered clouds
10,Hithadhoo,MV,-0.6,73.0833,81.19,77,100,9.24,overcast clouds
11,Amahai,ID,-3.3333,128.9167,81.91,78,97,3.2,overcast clouds
12,Davila,PH,18.4726,120.5763,84.18,86,100,22.55,overcast clouds
13,Avarua,CK,-21.2078,-159.775,77.05,65,63,4.61,broken clouds
14,Pundaguitan,PH,6.3711,126.1689,84.54,75,24,15.14,few clouds
15,Haines Junction,CA,60.7522,-137.5108,66.15,55,40,5.75,scattered clouds
16,Kwidzyn,PL,53.7249,18.9311,66.27,88,99,4.76,overcast clouds
17,Bredasdorp,ZA,-34.5322,20.0403,54.72,71,100,8.05,overcast clouds
18,Chokurdakh,RU,70.6333,147.9167,47.91,51,95,12.17,overcast clouds
19,Hambantota,LK,6.1241,81.1185,77.34,94,100,5.75,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,61.32,48,40,1.99,scattered clouds
21,Nauta,PE,-4.5061,-73.5757,75.65,85,100,3.74,overcast clouds
22,Balkhash,KZ,46.844,74.9804,67.53,41,0,15.97,clear sky
23,Butaritari,KI,3.0707,172.7902,81.66,70,100,3.56,light rain
24,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,75,0,3.44,clear sky
25,Qaanaaq,GL,77.484,-69.3632,42.12,96,99,6.24,overcast clouds
26,Okhotsk,RU,59.3833,143.3,63.57,80,62,12.26,broken clouds
27,Mataura,NZ,-46.1927,168.8643,52.48,74,39,1.14,scattered clouds
28,Ribeira Grande,PT,38.5167,-28.7,72.12,83,23,9.35,few clouds
29,Gravdal,NO,68.1214,13.5031,55.71,82,1,10.45,clear sky
30,Aklavik,CA,68.2191,-135.0107,65.23,63,100,8.72,overcast clouds
31,Bengkulu,ID,-3.8004,102.2655,76.95,69,20,4.27,few clouds
32,Rockwall,US,32.9001,-96.4003,98.56,57,40,10.36,scattered clouds
33,Thayetmyo,MM,19.3167,95.1833,75.63,97,100,6.24,overcast clouds
34,Telemaco Borba,BR,-24.3239,-50.6156,51.12,98,100,3.74,overcast clouds
35,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,17.27,broken clouds
36,Kuandian,CN,40.7286,124.7847,84.16,68,30,1.05,scattered clouds
37,Cape Town,ZA,-33.9258,18.4232,52.12,89,20,2.3,few clouds
38,Geraldton,AU,-28.7667,114.6,59.13,88,90,10.36,overcast clouds
39,Kodiak,US,57.79,-152.4072,63.91,55,40,5.75,scattered clouds
40,Ishinomaki,JP,38.4167,141.3,80.6,93,100,19.98,overcast clouds
41,Kashan,IR,33.9831,51.4364,87.85,21,0,6.49,clear sky
42,Port Hedland,AU,-20.3167,118.5667,66.25,94,8,4.61,clear sky
43,Chase,CA,50.8165,-119.6857,92.37,20,0,1.7,clear sky
44,Port-Cartier,CA,50.0334,-66.8654,63.93,69,96,12.26,overcast clouds
45,Negombo,LK,7.2083,79.8358,80.65,89,75,4.61,broken clouds
46,Saldanha,ZA,-33.0117,17.9442,53.65,70,100,7.63,overcast clouds
47,Filingue,NE,14.3521,3.3168,82.47,64,95,6.6,overcast clouds
48,Kavieng,PG,-2.5744,150.7967,85.12,70,12,9.75,light rain
49,Santa Rita,BR,-7.1139,-34.9781,74.07,94,0,4.61,clear sky
50,Teya,RU,60.3778,92.6267,57.4,88,99,5.95,overcast clouds
51,Meulaboh,ID,4.1363,96.1285,77.54,88,77,3.33,broken clouds
52,Fort Nelson,CA,58.8053,-122.7002,67.59,56,40,0.0,light rain
