City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2021-07-25 16:44:16,41.3712,-73.414,76.5,86,90,1.01
1,Kruisfontein,ZA,2021-07-25 16:42:35,-34.0033,24.7314,55.89,48,51,1.14
2,Sao Miguel Do Araguaia,BR,2021-07-25 16:47:35,-13.275,-50.1628,91.53,22,2,6.82
3,Punta Arenas,CL,2021-07-25 16:47:35,-53.15,-70.9167,39.31,81,20,14.97
4,Mount Isa,AU,2021-07-25 16:46:42,-20.7333,139.5,51.57,37,4,1.14
5,Kapaa,US,2021-07-25 16:47:36,22.0752,-159.319,79.12,84,90,1.01
6,Nome,US,2021-07-25 16:45:54,64.5011,-165.4064,48.27,87,90,9.22
7,Semey,KZ,2021-07-25 16:47:36,50.4111,80.2275,80.82,34,0,8.95
8,Berlevag,NO,2021-07-25 16:47:36,70.8578,29.0864,48.2,82,100,19.44
9,Tasiilaq,GL,2021-07-25 16:47:37,65.6145,-37.6368,46.56,87,67,2.66
10,Rikitea,PF,2021-07-25 16:47:37,-23.1203,-134.9692,70.07,65,97,3.67
11,Senador Jose Porfirio,BR,2021-07-25 16:47:37,-2.5908,-51.9542,90.0,40,86,2.15
12,Mataura,NZ,2021-07-25 16:47:37,-46.1927,168.8643,48.47,89,100,5.01
13,Castro,BR,2021-07-25 16:47:38,-24.7911,-50.0119,70.18,40,2,9.26
14,Great Falls,US,2021-07-25 16:43:08,47.5002,-111.3008,85.93,22,1,9.22
15,Thompson,CA,2021-07-25 16:47:38,55.7435,-97.8558,57.36,54,40,11.5
16,Novoorsk,RU,2021-07-25 16:47:38,51.381,58.9813,72.25,53,55,8.39
17,Pevek,RU,2021-07-25 16:46:05,69.7008,170.3133,34.74,91,100,9.82
18,Saravan,AM,2021-07-25 16:47:39,39.7196,45.6483,75.85,67,14,8.86
19,Elizabeth City,US,2021-07-25 16:43:26,36.2946,-76.2511,87.03,63,1,7.0
20,Port Alfred,ZA,2021-07-25 16:45:25,-33.5906,26.891,61.45,51,25,11.18
21,Jamame,SO,2021-07-25 16:47:39,0.0722,42.7506,74.48,75,29,15.5
22,Ouadda,CF,2021-07-25 16:47:39,8.0777,22.4007,70.66,94,53,3.98
23,Katsuura,JP,2021-07-25 16:47:40,35.1333,140.3,81.1,86,8,11.07
24,Busselton,AU,2021-07-25 16:47:40,-33.65,115.3333,58.08,66,37,18.66
25,Vaini,TO,2021-07-25 16:47:40,-21.2,-175.2,68.16,94,20,2.3
26,Ribeira Grande,PT,2021-07-25 16:47:41,38.5167,-28.7,75.6,73,40,8.05
27,Arraial Do Cabo,BR,2021-07-25 16:47:41,-22.9661,-42.0278,78.76,65,0,24.16
28,Ushuaia,AR,2021-07-25 16:45:07,-54.8,-68.3,38.86,70,20,25.32
29,Vila Franca Do Campo,PT,2021-07-25 16:43:27,37.7167,-25.4333,75.61,69,48,8.16
